Order ID,Product ID,Quantity,Sales,Discount,Profit
CA-2016-152156,FUR-BO-10001798,2,26195,0.0,4191
CA-2016-152156,FUR-CH-10000454,3,73194,0.0,21958
CA-2016-138688,OFF-LA-10000240,2,1462,0.0,687
US-2015-108966,FUR-TA-10000577,5,95757,0.45,-38303
US-2015-108966,OFF-ST-10000760,2,2236,0.2,251
CA-2014-115812,FUR-FU-10001487,7,4886,0.0,1416
CA-2014-115812,OFF-AR-10002833,4,728,0.0,196
CA-2014-115812,TEC-PH-10002275,6,90715,0.2,9071
CA-2014-115812,OFF-BI-10003910,3,1850,0.2,578
CA-2014-115812,OFF-AP-10002892,5,11490,0.0,3447
CA-2014-115812,FUR-TA-10001539,9,170618,0.2,8530
CA-2014-115812,TEC-PH-10002033,4,91142,0.2,6835
CA-2017-114412,OFF-PA-10002365,3,1555,0.2,544
CA-2016-161389,OFF-BI-10003656,3,40797,0.2,13259
US-2015-118983,OFF-AP-10002311,5,6881,0.8,-12385
US-2015-118983,OFF-BI-10000756,3,254,0.8,-381
CA-2014-105893,OFF-ST-10004186,6,66588,0.0,1331
CA-2014-167164,OFF-ST-10000107,2,5550,0.0,999
CA-2014-143336,OFF-AR-10003056,2,856,0.0,248
CA-2014-143336,TEC-PH-10001949,3,21348,0.2,1601
CA-2014-143336,OFF-BI-10002215,4,2272,0.2,738
CA-2016-137330,OFF-AR-10000246,7,1946,0.0,505
CA-2016-137330,OFF-AP-10001492,7,6034,0.0,1568
US-2017-156909,FUR-CH-10002774,2,7137,0.3,-101
CA-2015-106320,FUR-TA-10000577,3,104463,0.0,24026
CA-2016-121755,OFF-BI-10001634,2,1164,0.2,422
CA-2016-121755,TEC-AC-10003027,3,9057,0.0,1177
US-2015-150630,FUR-BO-10004834,7,308343,0.5,-166505
US-2015-150630,OFF-BI-10000474,2,961,0.7,-705
US-2015-150630,FUR-FU-10004848,3,12420,0.2,1552
US-2015-150630,OFF-EN-10001509,2,326,0.2,110
US-2015-150630,OFF-AR-10004042,6,8630,0.2,970
US-2015-150630,OFF-BI-10001525,6,685,0.7,-571
US-2015-150630,OFF-AR-10001683,2,1576,0.2,354
CA-2017-107727,OFF-PA-10000249,3,2947,0.2,994
CA-2016-117590,TEC-PH-10004977,7,109754,0.2,12347
CA-2016-117590,FUR-FU-10003664,5,19092,0.6,-14796
CA-2015-117415,OFF-EN-10002986,9,11332,0.2,3541
CA-2015-117415,FUR-BO-10002545,3,53239,0.32,-4697
CA-2015-117415,FUR-CH-10004218,3,21205,0.3,-1514
CA-2015-117415,TEC-PH-10000486,4,37116,0.2,4175
CA-2017-120999,TEC-PH-10004093,4,14716,0.2,1655
CA-2016-101343,OFF-ST-10003479,2,7788,0.0,389
CA-2017-139619,OFF-ST-10003282,2,9561,0.2,956
CA-2016-118255,TEC-AC-10000171,2,4598,0.0,1977
CA-2016-118255,OFF-BI-10003291,2,1746,0.0,820
CA-2014-146703,OFF-ST-10001713,4,21196,0.0,847
CA-2016-169194,TEC-AC-10002167,3,4500,0.0,495
CA-2016-169194,TEC-PH-10003988,2,2180,0.0,610
CA-2015-115742,OFF-BI-10004410,6,3822,0.0,1796
CA-2015-115742,OFF-LA-10002762,6,7518,0.0,3533
CA-2015-115742,FUR-FU-10001706,2,616,0.0,295
CA-2015-115742,FUR-CH-10003061,1,8999,0.0,1709
CA-2016-105816,OFF-FA-10000304,7,1526,0.0,625
CA-2016-105816,TEC-PH-10002447,5,102995,0.0,29868
CA-2016-111682,OFF-ST-10000604,6,20856,0.0,5214
CA-2016-111682,OFF-PA-10001569,5,3240,0.0,1555
CA-2016-111682,FUR-CH-10003968,5,31941,0.1,709
CA-2016-111682,OFF-PA-10000587,2,1456,0.0,698
CA-2016-111682,TEC-AC-10002167,2,3000,0.0,330
CA-2016-111682,OFF-BI-10001460,4,4848,0.2,1636
CA-2016-111682,OFF-AR-10001868,1,168,0.0,84
CA-2015-135545,TEC-AC-10004633,2,1398,0.0,615
CA-2015-135545,OFF-BI-10001078,6,2582,0.2,936
CA-2015-135545,OFF-PA-10003892,3,14672,0.0,6896
CA-2015-135545,FUR-FU-10000397,4,7976,0.0,2233
US-2015-164175,FUR-CH-10001146,5,21311,0.3,-1522
CA-2014-106376,OFF-AR-10002671,8,111302,0.2,11130
CA-2014-106376,TEC-PH-10002726,4,16796,0.2,6298
CA-2016-119823,OFF-PA-10000482,2,7588,0.0,3566
CA-2016-106075,OFF-BI-10004654,1,461,0.2,173
CA-2017-114440,OFF-PA-10004675,3,1905,0.0,876
US-2015-134026,FUR-CH-10000513,8,83193,0.2,-11439
US-2015-134026,FUR-FU-10003708,2,9704,0.2,121
US-2015-134026,OFF-ST-10004123,1,7278,0.2,-1819
US-2017-118038,OFF-BI-10004182,3,124,0.8,-193
US-2017-118038,FUR-FU-10000260,3,970,0.6,-582
US-2017-118038,OFF-ST-10000615,3,2724,0.2,272
US-2014-147606,FUR-FU-10003194,5,1930,0.6,-1447
CA-2016-127208,OFF-AP-10002118,1,20816,0.0,5620
CA-2016-127208,OFF-BI-10002309,3,1673,0.0,803
CA-2014-139451,OFF-AR-10002053,5,1490,0.0,417
CA-2014-139451,OFF-ST-10002370,1,2139,0.0,620
CA-2015-149734,OFF-EN-10000927,7,20098,0.2,6280
US-2017-119662,OFF-ST-10003656,3,23037,0.2,-4895
CA-2017-140088,FUR-CH-10000863,2,30195,0.0,3321
CA-2017-155558,TEC-AC-10001998,1,1998,0.0,679
CA-2017-155558,OFF-LA-10000134,2,616,0.0,295
CA-2016-159695,OFF-ST-10003442,7,15836,0.2,1385
CA-2016-109806,OFF-AR-10004930,3,2010,0.0,663
CA-2016-109806,TEC-PH-10004093,2,7358,0.2,827
CA-2016-109806,OFF-PA-10000304,1,648,0.0,311
CA-2015-149587,OFF-PA-10003177,2,1296,0.0,622
CA-2015-149587,FUR-FU-10003799,3,5334,0.0,1653
CA-2015-149587,OFF-BI-10002852,2,3296,0.0,1615
US-2017-109484,OFF-BI-10004738,1,568,0.7,-378
CA-2017-161018,FUR-FU-10000629,7,9653,0.0,4054
CA-2017-157833,OFF-BI-10001721,3,5131,0.2,1795
CA-2016-149223,OFF-AP-10000358,6,7788,0.0,2258
CA-2016-158568,OFF-PA-10003256,7,6462,0.2,2261
CA-2016-158568,TEC-AC-10001767,3,9597,0.2,-1079
CA-2016-158568,OFF-BI-10002609,3,178,0.8,-303
CA-2016-129903,OFF-PA-10004040,4,2392,0.0,1172
US-2015-156867,TEC-AC-10001552,6,23889,0.2,-2687
US-2015-156867,FUR-FU-10004006,3,10236,0.2,-383
US-2015-156867,OFF-BI-10002794,3,3688,0.7,-2581
CA-2017-119004,TEC-AC-10003499,8,7411,0.2,1760
CA-2017-119004,TEC-PH-10002844,1,2799,0.2,209
CA-2017-119004,OFF-AR-10000390,1,330,0.2,107
CA-2015-129476,TEC-AC-10000844,5,33996,0.2,6799
CA-2017-146780,FUR-FU-10001934,2,4196,0.0,1090
CA-2016-128867,OFF-AR-10000380,2,7595,0.0,2278
CA-2016-128867,OFF-BI-10003981,6,2724,0.0,1334
CA-2014-115259,OFF-FA-10000621,14,4009,0.2,1453
CA-2014-115259,OFF-EN-10002600,2,472,0.2,165
CA-2014-115259,OFF-PA-10004965,3,2397,0.2,749
CA-2014-115259,OFF-EN-10002504,6,13046,0.2,4403
CA-2015-110457,FUR-TA-10001768,3,78753,0.0,16538
US-2015-136476,OFF-BI-10003650,1,15779,0.7,-11571
CA-2016-103730,FUR-FU-10002157,3,4704,0.0,1834
CA-2016-103730,OFF-BI-10003910,4,3084,0.0,1387
CA-2016-103730,OFF-ST-10000777,6,22656,0.0,6343
CA-2016-103730,OFF-EN-10002500,9,11502,0.0,5175
CA-2016-103730,TEC-PH-10003875,7,6804,0.0,1973
US-2014-152030,FUR-CH-10004063,3,60055,0.3,-857
US-2014-134614,FUR-TA-10004534,6,61770,0.5,-40768
US-2017-107272,OFF-BI-10003274,2,238,0.7,-183
US-2017-107272,OFF-ST-10002974,7,24399,0.2,3049
US-2016-125969,FUR-CH-10001146,2,8142,0.2,-916
US-2016-125969,FUR-FU-10003773,3,23856,0.0,2624
US-2017-164147,TEC-PH-10002293,5,5997,0.4,-1199
US-2017-164147,OFF-PA-10002377,2,7830,0.2,2936
US-2017-164147,OFF-FA-10002780,9,2145,0.2,697
CA-2016-145583,OFF-PA-10001804,3,2004,0.0,961
CA-2016-145583,OFF-PA-10001736,1,3544,0.0,1665
CA-2016-145583,OFF-AR-10001149,4,1152,0.0,345
CA-2016-145583,OFF-FA-10002988,2,401,0.0,196
CA-2016-145583,OFF-BI-10004781,3,7617,0.2,2666
CA-2016-145583,OFF-SU-10001218,6,6588,0.0,1844
CA-2016-145583,FUR-FU-10001706,14,4312,0.0,2069
CA-2016-110366,FUR-FU-10004848,2,8280,0.2,1035
CA-2017-106180,OFF-AR-10000940,3,882,0.0,238
CA-2017-106180,OFF-EN-10004030,3,1086,0.0,510
CA-2017-106180,OFF-PA-10004327,3,14369,0.0,6897
CA-2017-155376,OFF-AP-10001058,3,83943,0.0,21825
CA-2015-110744,OFF-ST-10003656,7,67193,0.0,2015
CA-2014-110072,FUR-FU-10000521,4,9388,0.2,1290
CA-2016-114489,TEC-PH-10000215,11,38445,0.0,10380
CA-2016-114489,TEC-PH-10001448,3,14997,0.0,599
CA-2016-114489,FUR-CH-10000454,8,195184,0.0,58555
CA-2016-114489,OFF-BI-10002735,5,17155,0.0,8062
CA-2016-158834,OFF-AP-10000326,5,15791,0.2,1776
CA-2016-158834,TEC-PH-10001254,2,20318,0.2,1523
CA-2015-124919,OFF-PA-10001950,7,5838,0.0,2627
CA-2015-124919,OFF-PA-10002254,4,10552,0.0,4853
CA-2015-124919,OFF-ST-10001590,6,8088,0.0,2102
CA-2015-118948,OFF-AR-10001547,3,663,0.0,179
CA-2014-104269,FUR-CH-10004063,2,45756,0.2,5147
CA-2016-114104,OFF-LA-10002475,2,1462,0.0,687
CA-2016-114104,TEC-PH-10004536,7,94493,0.0,23623
CA-2016-162733,OFF-PA-10002751,1,598,0.0,269
CA-2015-119697,TEC-AC-10003657,2,5438,0.2,135
CA-2016-154508,OFF-EN-10001990,5,2840,0.0,1334
CA-2016-113817,OFF-BI-10004002,2,2768,0.2,968
CA-2014-139892,OFF-AR-10004441,3,993,0.2,273
CA-2014-139892,TEC-MA-10000822,8,815995,0.4,-135999
