Order ID,Customer ID,Order Date,AddressID
CA-2014-103800,DP-13000,2014-01-03,A003887
CA-2014-112326,PO-19195,2014-01-04,A000343
CA-2014-141817,MB-18085,2014-01-05,A000854
CA-2014-106054,JO-15145,2014-01-06,A003509
CA-2014-130813,LS-17230,2014-01-06,A002614
CA-2014-167199,ME-17320,2014-01-06,A003656
CA-2014-105417,VS-21820,2014-01-07,A003735
CA-2014-135405,MS-17830,2014-01-09,A000276
CA-2014-149020,AJ-10780,2014-01-10,A000404
CA-2014-130092,SV-20365,2014-01-11,A000332
CA-2014-162775,CS-12250,2014-01-13,A000357
CA-2014-118192,MM-17920,2014-01-13,A004736
CA-2014-157147,BD-11605,2014-01-13,A002414
CA-2014-109232,ND-18370,2014-01-13,A001468
CA-2014-149524,BS-11590,2014-01-14,A003183
CA-2014-103366,EH-13990,2014-01-15,A000939
CA-2014-115791,DL-13315,2014-01-16,A000463
CA-2014-123477,DW-13195,2014-01-18,A002635
CA-2014-146591,TS-21340,2014-01-19,A002690
US-2014-147627,HL-15040,2014-01-20,A000537
CA-2014-167927,XP-21865,2014-01-20,A003117
CA-2014-148614,MV-17485,2014-01-20,A002825
US-2014-147774,MM-18280,2014-01-20,A003480
CA-2014-110422,TB-21400,2014-01-21,A004908
CA-2014-146997,SG-20605,2014-01-23,A004860
CA-2014-102645,IM-15055,2014-01-23,A004494
CA-2014-167997,CA-11965,2014-01-26,A003967
US-2014-155502,SD-20485,2014-01-26,A001260
US-2014-117163,EJ-13720,2014-01-27,A001868
CA-2014-100328,JC-15340,2014-01-28,A001523
CA-2014-134103,MV-18190,2014-01-30,A003144
CA-2014-115161,LC-17050,2014-01-31,A001657
CA-2014-140795,BD-11500,2014-02-01,A000251
CA-2014-123400,EB-13930,2014-02-02,A004484
CA-2014-139857,CD-12790,2014-02-02,A000826
CA-2014-111059,TB-21400,2014-02-03,A000729
CA-2014-107181,DB-13270,2014-02-04,A000742
CA-2014-104808,MH-17440,2014-02-04,A004195
CA-2014-108182,DL-13315,2014-02-06,A004396
CA-2014-131905,ND-18460,2014-02-06,A000973
US-2014-169390,CS-12250,2014-02-07,A004273
CA-2014-107755,CK-12760,2014-02-07,A000396
CA-2014-125759,NM-18445,2014-02-08,A004543
CA-2014-127614,NF-18385,2014-02-11,A002771
CA-2014-168368,GA-14725,2014-02-11,A004538
US-2014-110674,SC-20095,2014-02-12,A000209
CA-2014-121762,ML-17395,2014-02-14,A004808
CA-2014-107706,ST-20530,2014-02-14,A002691
