Product ID,Product Name,Catalogue price,Supplier price,CategoryID
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",13097,10478,C0001
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",12098,10404,C0001
FUR-BO-10000362,Sauder Inglewood Library Bookcases,17098,13165,C0001
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,4858,4080,C0001
FUR-BO-10000711,"Hon Metal Bookcases, Gray",7098,5181,C0001
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,20098,16882,C0001
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,12098,10888,C0001
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,5814,4418,C0001
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",10097,9391,C0001
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",13097,10609,C0001
FUR-BO-10001608,"Hon Metal Bookcases, Black",7098,5323,C0001
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,8498,6628,C0001
FUR-BO-10001798,Bush Somerset Collection Bookcase,13097,11002,C0001
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",30097,21068,C0001
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",16097,14327,C0001
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,12098,10041,C0001
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",24097,17109,C0001
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",14097,13252,C0001
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,50098,40579,C0001
FUR-BO-10002268,Sauder Barrister Bookcases,8098,6559,C0001
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",26098,19312,C0001
FUR-BO-10002598,"Hon Metal Bookcases, Putty",7098,5039,C0001
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",28097,19668,C0001
FUR-BO-10002824,Bush Mission Pointe Library,15098,12078,C0001
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,8194,6145,C0001
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",17098,13849,C0001
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",13098,11002,C0001
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",11498,10463,C0001
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,22098,19888,C0001
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",43098,40512,C0001
FUR-BO-10003433,Sauder Cornerstone Collection Library,3098,2881,C0001
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",10098,7775,C0001
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",5798,5334,C0001
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,10098,7573,C0001
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",22098,17015,C0001
FUR-BO-10003893,Sauder Camden County Collection Library,11498,9198,C0001
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",7098,4968,C0001
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,18098,16107,C0001
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",17098,14362,C0001
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",11999,9359,C0001
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",14097,11278,C0001
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,20098,18088,C0001
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,16097,14005,C0001
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",7098,5110,C0001
FUR-BO-10004467,Bestar Classic Bookcase,9999,8099,C0001
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,13748,12785,C0001
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,18098,13935,C0001
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",5798,4522,C0001
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",88097,67835,C0001
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,21660,16028,C0002
FUR-CH-10000155,Global Comet Stacking Armless Chair,29905,21531,C0002
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",8098,7693,C0002
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,27097,24930,C0002
FUR-CH-10000309,Global Comet Stacking Arm Chair,42251,31688,C0002
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,9099,7643,C0002
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",24398,17078,C0002
FUR-CH-10000513,High-Back Leather Manager's Chair,12999,11829,C0002
FUR-CH-10000553,"Metal Folding Chairs, Beige, 4/Carton",3394,2477,C0002
FUR-CH-10000595,Safco Contoured Stacking Chairs,23839,17880,C0002
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",15097,10568,C0002
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,18098,15202,C0002
FUR-CH-10000785,Global Ergonomic Managers Chair,18098,13392,C0002
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,29098,21532,C0002
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,15097,13437,C0002
FUR-CH-10000988,Hon Olson Stacker Stools,14081,10138,C0002
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",6089,4566,C0002
FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,13598,12375,C0002
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,50097,37573,C0002
FUR-CH-10001270,Harbour Creations Steel Folding Chair,8625,6037,C0002
FUR-CH-10001394,Global Leather Executive Chair,35099,24569,C0002
FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,13097,11657,C0002
FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,11398,9574,C0002
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,14097,11137,C0002
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",15088,13881,C0002
FUR-CH-10001797,"Safco Chair Connectors, 6/Carton",3848,2732,C0002
FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,12098,9557,C0002
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,35098,26674,C0002
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,9598,7006,C0002
FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,11098,9544,C0002
FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,2664,1918,C0002
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,70097,56078,C0002
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",13097,12181,C0002
FUR-CH-10002073,Hon Olson Stacker Chairs,26477,18799,C0002
FUR-CH-10002084,Hon Mobius Operator's Chair,12299,9593,C0002
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,24398,17566,C0002
FUR-CH-10002304,"Global Stack Chair without Arms, Black",2598,1948,C0002
FUR-CH-10002317,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,25897,18128,C0002
FUR-CH-10002320,Hon Pagoda Stacking Chairs,32097,22468,C0002
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,35598,28122,C0002
FUR-CH-10002335,Hon GuestStacker Chair,22667,16773,C0002
FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,8098,7126,C0002
FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",5822,4308,C0002
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,15097,11172,C0002
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",7098,5323,C0002
FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",24398,17078,C0002
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",5098,3619,C0002
FUR-CH-10002780,Office Star - Task Chair with Contemporary Loop Arms,9098,6914,C0002
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",12299,10946,C0002
FUR-CH-10002961,"Leather Task Chair, Black",9098,7278,C0002
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",20098,14671,C0002
FUR-CH-10003061,"Global Leather Task Chair, Black",8999,7289,C0002
FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,11098,8434,C0002
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",13097,11919,C0002
FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,28098,26131,C0002
FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,28498,21373,C0002
FUR-CH-10003396,Global Deluxe Steno Chair,7697,6851,C0002
FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",6098,5061,C0002
FUR-CH-10003606,SAFCO Folding Chair Trolley,12823,9233,C0002
FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,32098,23110,C0002
FUR-CH-10003761,Global Italian Leather Office Chair,13097,9561,C0002
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",9098,7915,C0002
FUR-CH-10003817,"Global Value Steno Chair, Gray",6073,4555,C0002
FUR-CH-10003833,Novimex Fabric Task Chair,6098,5183,C0002
FUR-CH-10003846,Hon Valutask Swivel Chairs,10098,8482,C0002
FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,7097,6601,C0002
FUR-CH-10003968,Novimex Turbo Task Chair,7098,6246,C0002
FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,37176,26766,C0002
FUR-CH-10003981,Global Commerce Series Low-Back Swivel/Tilt Chairs,25698,18245,C0002
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,28598,20304,C0002
FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,29172,20712,C0002
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",10097,7573,C0002
FUR-CH-10004287,SAFCO Arco Folding Chair,27620,19610,C0002
FUR-CH-10004289,Global Super Steno Chair,9598,7966,C0002
FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",6089,4323,C0002
FUR-CH-10004495,"Global Leather and Oak Executive Chair, Black",30097,21369,C0002
FUR-CH-10004540,Global Chrome Stack Chair,3428,2502,C0002
FUR-CH-10004626,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,10089,7667,C0002
